,top surgery,underbust,chest,binder,bust
0,No,98.0,,106.0,110.0
1,No,68.58,,76.2,76.2
2,Yes,,93.98,,
3,Yes,101.0,105.0,,
4,Yes,79.0,90.0,,
5,No,119.38,,121.92,132.08
6,No,96.52,,100.33,111.76
7,Yes,106.0,110.0,,
8,Yes,73.0,75.0,,
9,Yes,98.0,100.0,,
10,No,83.82,,,87.63
11,Yes,83.82,88.9,,
12,Yes,124.46,132.08,,
13,No,86.36,,,93.98
14,No,82.55,,86.36,91.44
15,Yes,93.0,95.0,,
16,Yes,100.0,108.0,,
17,Yes,79.0,87.0,,
18,Yes,119.0,125.0,,
19,No,94.0,,103.0,107.0
20,Yes,93.98,96.52,,
21,No,78.0,,,84.0
22,No,74.93,,73.66,81.28
23,Yes,79.0,84.0,,
24,Yes,101.6,107.95,,
25,No,91.44,,96.52,101.6
26,Yes,76.0,79.0,,
27,Yes,109.22,114.3,,
28,Yes,73.5,75.5,,
29,Yes,92.5,97.0,,
30,No,93.98,,101.6,106.68
31,Yes,,97.79,,
32,Yes,106.68,111.76,,
33,Yes,97.0,100.0,,
34,Yes,88.0,,,
35,Yes,86.36,88.9,,
36,Yes,82.804,85.09,,
37,Yes,82.0,86.0,,
38,Yes,93.0,99.0,,
39,No,91.44,,95.25,99.06
40,Yes,84.0,87.0,,
41,Yes,89.0,96.5,,
42,Yes,92.0,94.0,,
43,Yes,107.0,113.0,,
44,Yes,67.945,71.755,,
45,Yes,86.0,87.5,,
46,Yes,75.5,80.0,,
47,Yes,81.28,86.36,,
48,Yes,94.0,100.0,,
49,No,89.535,,99.695,102.87
50,Yes,,92.71,,
51,No,99.06,,114.3,119.38
52,Yes,79.0,82.0,,
53,No,91.44,,99.06,104.14
54,Yes,,106.0,,
55,Yes,91.0,99.0,,
56,No,113.0,,,120.0
57,No,,,,146.0
