chest,underbust,natural waist,low waist,hip,gender,study
,98.0,103.0,111.0,108.0,Transmasc,Trans Standard Sizing (2026)
,68.58,63.5,71.12,82.55,Transmasc,Trans Standard Sizing (2026)
93.98,,91.44,96.52,99.06,Transmasc,Trans Standard Sizing (2026)
105.0,101.0,101.0,97.0,105.0,Transmasc,Trans Standard Sizing (2026)
90.0,79.0,76.0,86.0,92.0,Transmasc,Trans Standard Sizing (2026)
,119.38,119.38,127.0,119.38,Transmasc,Trans Standard Sizing (2026)
,96.52,90.17,102.87,105.41,Transmasc,Trans Standard Sizing (2026)
110.0,106.0,111.0,122.0,120.0,Transmasc,Trans Standard Sizing (2026)
75.0,73.0,71.0,79.0,86.0,Transmasc,Trans Standard Sizing (2026)
100.0,98.0,101.0,115.0,124.5,Transmasc,Trans Standard Sizing (2026)
,83.82,76.2,85.09,93.98,Transmasc,Trans Standard Sizing (2026)
88.9,83.82,78.74,88.9,97.79,Transmasc,Trans Standard Sizing (2026)
132.08,124.46,144.78,133.35,137.16,Transmasc,Trans Standard Sizing (2026)
,86.36,81.28,81.28,96.52,Transmasc,Trans Standard Sizing (2026)
,82.55,71.12,81.28,86.36,Transmasc,Trans Standard Sizing (2026)
95.0,93.0,87.0,94.0,105.0,Transmasc,Trans Standard Sizing (2026)
108.0,100.0,101.0,106.0,112.5,Transmasc,Trans Standard Sizing (2026)
87.0,79.0,78.0,82.0,100.0,Transmasc,Trans Standard Sizing (2026)
125.0,119.0,116.0,120.0,123.0,Transmasc,Trans Standard Sizing (2026)
,94.0,95.0,105.0,105.0,Transmasc,Trans Standard Sizing (2026)
96.52,93.98,99.06,111.76,111.76,Transmasc,Trans Standard Sizing (2026)
,78.0,71.0,85.0,91.0,Transmasc,Trans Standard Sizing (2026)
,74.93,67.31,73.66,86.36,Transmasc,Trans Standard Sizing (2026)
84.0,79.0,86.0,70.0,65.0,Transmasc,Trans Standard Sizing (2026)
107.95,101.6,107.95,109.22,115.57,Transmasc,Trans Standard Sizing (2026)
,91.44,87.63,104.14,106.68,Transmasc,Trans Standard Sizing (2026)
79.0,76.0,72.0,81.0,93.0,Transmasc,Trans Standard Sizing (2026)
114.3,109.22,106.68,119.38,129.54,Transmasc,Trans Standard Sizing (2026)
75.5,73.5,65.5,71.0,85.0,Transmasc,Trans Standard Sizing (2026)
97.0,92.5,88.5,92.0,114.0,Transmasc,Trans Standard Sizing (2026)
,93.98,93.98,101.6,114.3,Transmasc,Trans Standard Sizing (2026)
97.79,,86.36,91.44,97.79,Transmasc,Trans Standard Sizing (2026)
111.76,106.68,104.14,112.395,116.84,Transmasc,Trans Standard Sizing (2026)
100.0,97.0,96.0,104.0,110.0,Transmasc,Trans Standard Sizing (2026)
,88.0,98.0,97.0,106.0,Transmasc,Trans Standard Sizing (2026)
88.9,86.36,95.25,88.9,99.06,Transmasc,Trans Standard Sizing (2026)
85.09,82.804,80.01,95.25,97.79,Transmasc,Trans Standard Sizing (2026)
86.0,82.0,76.0,88.0,100.0,Transmasc,Trans Standard Sizing (2026)
99.0,93.0,98.0,97.0,111.0,Transmasc,Trans Standard Sizing (2026)
,91.44,86.36,91.44,101.6,Transmasc,Trans Standard Sizing (2026)
87.0,84.0,82.0,88.0,105.0,Transmasc,Trans Standard Sizing (2026)
96.5,89.0,84.0,85.0,101.5,Transmasc,Trans Standard Sizing (2026)
94.0,92.0,89.0,105.0,111.0,Transmasc,Trans Standard Sizing (2026)
113.0,107.0,120.0,115.0,123.0,Transmasc,Trans Standard Sizing (2026)
71.755,67.945,61.595,69.85,83.185,Transmasc,Trans Standard Sizing (2026)
87.5,86.0,77.2,85.0,98.0,Transmasc,Trans Standard Sizing (2026)
80.0,75.5,70.0,76.0,88.0,Transmasc,Trans Standard Sizing (2026)
86.36,81.28,73.66,81.28,93.98,Transmasc,Trans Standard Sizing (2026)
100.0,94.0,84.0,92.0,105.0,Transmasc,Trans Standard Sizing (2026)
,89.535,90.17,95.885,99.695,Transmasc,Trans Standard Sizing (2026)
92.71,,110.49,109.22,119.38,Transmasc,Trans Standard Sizing (2026)
,99.06,106.68,109.22,111.76,Transmasc,Trans Standard Sizing (2026)
82.0,79.0,74.0,87.0,90.0,Transmasc,Trans Standard Sizing (2026)
,91.44,91.44,96.52,99.06,Transmasc,Trans Standard Sizing (2026)
106.0,,97.0,112.0,108.0,Transmasc,Trans Standard Sizing (2026)
99.0,91.0,86.0,96.0,104.0,Transmasc,Trans Standard Sizing (2026)
,113.0,119.0,128.0,130.0,Transmasc,Trans Standard Sizing (2026)
,,148.0,140.0,166.0,Transmasc,Trans Standard Sizing (2026)
